Timestamp,You're Currently On,Gender,Age,Current CGPA,How many hours do you spend on studying per week?,How many credits are you currently enrolled in?,Do you participate in extracurricular activities?,"If yes, how many hours per week?",Do you have a part-time job? (Including Tuition),"If yes, how many hours per week?",How would you rate your stress level this semester?,How would you rate your anxiety level?,How many hours of sleep do you get per night?(On Average),How would you rate your overall sleep quality?
8/22/2025 20:52:06,3rd Year,Male,24,3.67,28,21,Yes,20,Yes,20,3,3,7,8
8/22/2025 20:57:10,1st Year,Female,21,3.57,80,12,No,,Yes,12,5,5,2,4
8/22/2025 21:12:14,3rd Year,Male,25,3.28,25,12,Yes,8,Yes,24,4,2,7,5
8/22/2025 21:47:47,4th Year,Female,23,3.5,7,5,No,,Yes,42,5,3,4,2
8/22/2025 22:50:08,3rd Year,Male,21,3.17,10,18,Yes,6,No,,3,,5,6
8/22/2025 22:50:51,2nd Year,Male,23,,1,11,No,,No,,2,5,4,1
8/23/2025 2:45:50,3rd Year,Male,23,2.8,5,87,No,,No,,4,4,6,4
8/23/2025 6:04:06,3rd Year,Male,23,3.16,6,14.5,Yes,10,No,,5,5,4,3
8/23/2025 10:03:06,2nd Year,Female,24,3.29,2,50,No,,Yes,3,3,2,6,5
8/23/2025 16:31:21,3rd Year,Male,22,2.95,20,102,Yes,4,Yes,8,5,4,6,9
8/23/2025 17:14:19,2nd Year,Female,22,2.75,4,63.5,No,,No,,2,2,7,2
8/23/2025 17:47:07,3rd Year,Male,23,2.5,7,65,No,,,,5,5,8,1
8/23/2025 21:29:28,4th Year,Male,24,3.72,10,,Yes,5,Yes,25,3,2,5,6
8/23/2025 22:26:38,3rd Year,Male,22,3.71,7,12,Yes,3,Yes,20,4,5,5,3
8/23/2025 23:07:27,4th Year,Female,24,3.93,4,12,No,,Yes,16,4,4,8,8
8/24/2025 9:38:50,3rd Year,Male,23,3.67,12,13.5,No,,Yes,56,3,3,6,7
8/24/2025 9:40:31,3rd Year,Male,24,3.13,28,14,No,,No,,3,3,7,5
8/24/2025 12:32:41,3rd Year,Male,22,3.5,10,,No,,No,,4,4,4,2
8/24/2025 15:45:17,3rd Year,Male,22,3.3,2,20,No,,No,,5,5,10,3
8/25/2025 14:46:59,2nd Year,Male,22,3.1,3,48,No,1,Yes,10,5,5,4,1
