"Timestamp","You're Currently On","Gender","Age","CGPA","How many hours do you spend on studying per week?"," How many courses are you currently enrolled in?","Do you participate in extracurricular activities?","If yes, how many hours per week?","Do you have a part-time job?","If yes, how many hours per week?","On a scale of 1–5, how would you rate your stress level this semester? (1 = Very Low, 5 = Very High)","On a scale of 1–5, how would you rate your anxiety level? (1 = No anxiety, 5 = Extreme anxiety)","On average, how many hours of sleep do you get per night?","On a scale of 1–10, how would you rate your overall sleep quality?"
"2025/12/05 1:56:33 PM GMT+6","3rd Year","Male","22","3.74","10","3","Yes","3","No","","4","4","6","4"
"2025/12/06 12:09:20 AM GMT+6","3rd Year","Female","23","2.34","4","4","Yes","3","No","","5","4","5","4"
"2025/12/06 10:15:54 AM GMT+6","3rd Year","Female","23","3.75","35","3","No","","Yes","4","5","5","5","3"
"2025/12/06 9:36:40 PM GMT+6","3rd Year","Female","23","3.48","21","3","No","","No","","5","4","6","3"
"2025/12/12 11:47:20 AM GMT+6","3rd Year","Male","24","3.78","10","3","Yes","12","Yes","21","2","2","7","8"
"2025/12/12 11:49:34 AM GMT+6","3rd Year","Female","23","3.54","12","4","Yes","10","Yes","22","2","1","8","8"
"2025/12/12 11:51:05 AM GMT+6","4th Year","Male","25","3.48","16","4","Yes","8","Yes","24","2","2","7","7"
"2025/12/12 11:52:04 AM GMT+6","2nd Year","Male","23","3.85","13","3","No","","No","","2","1","8","9"
"2025/12/12 11:52:55 AM GMT+6","1st Year","Female","21","3.95","21","4","No","","No","","1","1","9","9"
"2025/12/12 11:57:35 AM GMT+6","4th Year","Male","25","3.97","29","4","Yes","7","Yes","28","1","1","8","7"
"2025/12/12 11:58:27 AM GMT+6","3rd Year","Female","24","3.25","13","3","Yes","7","No","","2","2","9","9"
"2025/12/12 12:10:58 PM GMT+6","3rd Year","Male","23","3.75","18","3","Yes","5","Yes","22","2","2","8","9"
"2025/12/12 12:12:36 PM GMT+6","3rd Year","Male","23","3.64","15","3","No","","Yes","23","3","2","6","7"
"2025/12/12 12:28:50 PM GMT+6","1st Year","Male","21","3.89","16","4","Yes","8","No","","2","2","9","8"
"2025/12/12 12:29:44 PM GMT+6","2nd Year","Male","22","2.85","4","3","No","","No","","4","4","4","3"
"2025/12/12 12:31:48 PM GMT+6","4th Year","Male","25","2.76","2","4","Yes","7","No","","5","5","5","2"
"2025/12/12 12:32:37 PM GMT+6","4th Year","Female","24","3.04","7","4","No","","No","","4","5","6","4"
"2025/12/12 12:37:34 PM GMT+6","2nd Year","Female","22","3.27","8","3","No","","No","","3","4","6","5"
"2025/12/12 12:40:02 PM GMT+6","4th Year","Male","24","3.57","12","4","Yes","10","No","","2","2","7","7"
"2025/12/12 1:22:53 PM GMT+6","3rd Year","Male","24","3.67","14","3","Yes","10","Yes","22","2","2","8","8"
"2025/12/12 1:23:39 PM GMT+6","3rd Year","Female","23","3.98","18","3","Yes","8","Yes","25","2","1","8","9"
"2025/12/12 1:25:23 PM GMT+6","2nd Year","Male","22","2.24","3","3","No","","No","","4","5","5","2"
"2025/12/12 1:26:12 PM GMT+6","3rd Year","Male","24","2.35","2","3","No","","No","","3","4","7","6"
"2025/12/12 1:27:00 PM GMT+6","2nd Year","Female","22","3.46","10","3","Yes","8","No","","2","2","7","7"
"2025/12/12 1:47:28 PM GMT+6","1st Year","Female","20","3.95","15","3","Yes","10","Yes","8","2","1","8","9"
"2025/12/12 1:49:41 PM GMT+6","3rd Year","Female","23","3.48","14","3","No","","No","","2","2","10","9"
"2025/12/12 1:51:04 PM GMT+6","3rd Year","Female","23","3.48","14","3","No","","No","","2","2","10","9"
"2025/12/12 2:09:13 PM GMT+6","3rd Year","Male","22","3.54","14","3","Yes","7","Yes","21","2","1","9","8"
"2025/12/12 2:10:30 PM GMT+6","3rd Year","Female","24","3.35","12","3","Yes","8","Yes","23","2","1","8","9"
"2025/12/12 2:12:35 PM GMT+6","1st Year","Male","21","3.87","17","3","Yes","6","Yes","20","1","1","8","8"
"2025/12/12 2:14:09 PM GMT+6","3rd Year","Male","24","2.22","5","3","Yes","12","Yes","45","4","5","5","4"
"2025/12/12 2:16:50 PM GMT+6","1st Year","Male","21","2.12","1","4","No","","No","","4","5","5","3"
